2025-08-21 17:03:19,309 - INFO - Starting RL generative experiment with oracle budget: 10000
2025-08-22 12:21:53,767 - INFO - Oracle calls: 680/10000 (Batch Validity: 96.55%, 28 / 29)
2025-08-22 12:23:28,900 - INFO - Oracle calls: 681/10000 (Batch Validity: 100.0%, 31 / 31)
2025-08-22 12:23:29,495 - INFO - Oracle calls: 681/10000 (Batch Validity: 96.88%, 31 / 32)
2025-08-22 12:23:30,076 - INFO - Oracle calls: 681/10000 (Batch Validity: 100.0%, 30 / 30)
2025-08-22 12:25:19,669 - INFO - Oracle calls: 682/10000 (Batch Validity: 100.0%, 28 / 28)
2025-08-22 12:25:20,247 - INFO - Oracle calls: 682/10000 (Batch Validity: 100.0%, 30 / 30)
2025-08-22 12:25:20,838 - INFO - Oracle calls: 682/10000 (Batch Validity: 100.0%, 32 / 32)
2025-08-22 12:25:21,412 - INFO - Oracle calls: 682/10000 (Batch Validity: 100.0%, 24 / 24)
2025-08-22 12:25:21,993 - INFO - Oracle calls: 682/10000 (Batch Validity: 100.0%, 30 / 30)
2025-08-22 12:25:22,566 - INFO - Oracle calls: 682/10000 (Batch Validity: 100.0%, 29 / 29)
2025-08-22 12:25:23,135 - INFO - Oracle calls: 682/10000 (Batch Validity: 100.0%, 28 / 28)
2025-08-22 12:25:23,703 - INFO - Oracle calls: 682/10000 (Batch Validity: 100.0%, 31 / 31)
2025-08-22 12:25:24,351 - INFO - Oracle calls: 682/10000 (Batch Validity: 100.0%, 31 / 31)
2025-08-22 12:27:19,063 - INFO - Oracle calls: 683/10000 (Batch Validity: 100.0%, 30 / 30)
2025-08-22 12:30:31,965 - INFO - Oracle calls: 684/10000 (Batch Validity: 96.55%, 28 / 29)
2025-08-22 12:30:32,530 - INFO - Oracle calls: 684/10000 (Batch Validity: 100.0%, 31 / 31)
2025-08-22 12:30:33,096 - INFO - Oracle calls: 684/10000 (Batch Validity: 100.0%, 29 / 29)
2025-08-22 12:30:33,675 - INFO - Oracle calls: 684/10000 (Batch Validity: 96.77%, 30 / 31)
2025-08-22 12:30:34,234 - INFO - Oracle calls: 684/10000 (Batch Validity: 100.0%, 29 / 29)
2025-08-22 12:30:34,799 - INFO - Oracle calls: 684/10000 (Batch Validity: 100.0%, 32 / 32)
2025-08-22 12:30:35,362 - INFO - Oracle calls: 684/10000 (Batch Validity: 100.0%, 31 / 31)
2025-08-22 12:30:35,931 - INFO - Oracle calls: 684/10000 (Batch Validity: 100.0%, 29 / 29)
2025-08-22 12:30:36,493 - INFO - Oracle calls: 684/10000 (Batch Validity: 100.0%, 29 / 29)
2025-08-22 12:30:37,045 - INFO - Oracle calls: 684/10000 (Batch Validity: 100.0%, 30 / 30)
2025-08-22 12:30:37,597 - INFO - Oracle calls: 684/10000 (Batch Validity: 100.0%, 29 / 29)
2025-08-22 12:30:38,152 - INFO - Oracle calls: 684/10000 (Batch Validity: 100.0%, 30 / 30)
