oracle_calls,scaffold,smiles,reward,penalized_reward,hydroxypyridine_raw_values,hydroxypyridine_reward,activation_energy_raw_values,activation_energy_reward
131,N=C(NCc1cccnc1)NC1CCCCC1,C1CCCC(NC(NCc2cnc(O)cc2[N+]([O-])=O)=NC)C1,0.33083788,0.33083788,1.0,1.0,36.11832208511225,0.33083788
131,c1ccncc1,O(C)c1c([N+]([O-])=O)nc(O)cc1,0.15785466,0.15785466,1.0,1.0,44.54259284874576,0.15785466
131,c1ccncc1,c1(N)c(O)ncc([N+]([O-])=O)c1O,0.40202007,0.40202007,1.0,1.0,33.448777555649315,0.40202007
131,c1ccncc1,Oc1c(OC)ccnc1O,0.6133578,0.6133578,1.0,1.0,25.99190677270076,0.6133578
148,N=C(NCc1ccccc1)NCc1cccnc1,Oc1ncc(CNC(=NC)NCc2cc(O)ccc2)cc1,0.25417963,0.25417963,1.0,1.0,39.3498703746412,0.25417963
148,N=C(NCc1ccccc1)NCc1cccnc1,c1(CNC(=NC)NCc2cnc(O)cc2[N+](=O)[O-])c([N+]([O-])=O)cc(O)c(O)c1,0.33184594,0.33184594,1.0,1.0,36.078801538438505,0.33184594
148,O=C(Nc1ccccc1)c1ccncc1,Nc1c(O)c(NC(=O)c2ccnc(O)c2)ccc1,0.5425154,0.5425154,1.0,1.0,28.5192890308187,0.5425154
148,c1ccc2cnccc2c1,c12c(c(O)ncc1)c(O)cc(O)c2[N+]([O-])=O,0.47860053,0.47860053,1.0,1.0,30.743948168460804,0.47860053
148,c1ccncc1,Oc1cc(O)c(CN)cn1,0.36094958,0.36094958,1.0,1.0,34.961771923655746,0.36094958
148,c1ccncc1,Cc1cc([N+]([O-])=O)cnc1O,0.44968686,0.44968686,1.0,1.0,31.75399369300029,0.44968686
148,c1ccncc1,c1c(CNCCO)cnc(O)c1O,0.451051,0.451051,1.0,1.0,31.706127270317616,0.451051
148,c1ccncc1,Oc1c(CCN)ccnc1O,0.37145206,0.37145206,1.0,1.0,34.56871253929215,0.37145206
148,C(=NCc1ccccc1)NCc1ccncc1,C(N=C(NCc1ccnc(O)c1O)NCCCO)c1ccc(O)c(O)c1C,0.48138812,0.48138812,1.0,1.0,30.646941478860263,0.48138812
148,c1ccncc1,c1c(CC(O)=O)ccnc1O,0.42046648,0.42046648,1.0,1.0,32.78694331335659,0.42046648
148,c1ccncc1,[O-][N+](c1cc(NCC)nc(O)c1N)=O,0.19790035,0.19790035,1.0,1.0,42.15563466074188,0.19790035
148,N=C(NCc1ccccc1)NCc1cccnc1,N(C(NCc1c(C)nc(O)c(CN)c1)=NC)C(c1ccc(O)c(O)c1)C,0.13394026,0.13394026,1.0,1.0,46.212734414347054,0.13394026
148,c1ccc2cnccc2c1,c1(O)c(O)c2c(N)c(C#N)c(O)cc2c(C)n1,0.22440697,0.22440697,1.0,1.0,40.77195117004947,0.22440697
148,c1ccncc1,Oc1cnc(O)c(N)c1,0.32322392,0.32322392,1.0,1.0,36.418830097153084,0.32322392
148,O=C(NCc1ccccc1)NCc1cccnc1,c1(C)c(O)c(CNC(NCc2cnc(O)c(C)c2)=O)c(O)cc1,0.38669473,0.38669473,1.0,1.0,34.00616912109619,0.38669473
148,c1ccncc1,[O-][N+](=O)c1c(O)c(O)cc(O)n1,0.2095486,0.2095486,1.0,1.0,41.53180866728566,0.2095486
148,c1ccncc1,CC(C)OCCCNC(Nc1c(O)nccc1O)=O,0.44030124,0.44030124,1.0,1.0,32.084088776743414,0.44030124
167,O=C(Cc1ccncc1)Nc1cccnc1,c1c(CC(=O)Nc2cnc(O)c(C)c2)ccnc1,0.27678716,0.27678716,1.0,1.0,38.34240391403503,0.27678716
167,c1ccncc1,NC(=O)c1cc(O)c(O)c(O)n1,0.31581038,0.31581038,1.0,1.0,36.7150020187127,0.31581038
167,c1ccncc1,c1(CCCO)cnc(O)c(C)c1C,0.26297313,0.26297313,1.0,1.0,38.951439509189974,0.26297313
167,O=C(NCCc1cccnc1)Nc1cc(Cc2ccccc2)cn2cncc12,n12c(cnc1O)c(NC(=O)NCCc1cnc(O)c([N+]([O-])=O)c1)c(O)c(Cc1c(O)c(C)ccc1O)c2C,0.3426011,0.3426011,1.0,1.0,35.66080492757226,0.3426011
167,c1cncc(-c2ccc[nH]2)c1,Cc1n(C)c(-c2cnc(O)c(OC)c2)c([N+](=O)[O-])c1C(O)=O,0.36681226,0.36681226,1.0,1.0,34.741773377146174,0.36681226
167,c1ccncc1,Fc1cccnc1O,0.29739308,0.29739308,1.0,1.0,37.46763060681149,0.29739308
167,c1ccncc1,c1(CN)c(O)c(O)ncc1,0.11744151,0.11744151,1.0,1.0,47.518437302688355,0.11744151
167,O=C(Nc1cccnc1)c1ccccc1,c1nc(O)c(NC(c2c(O)c(C#N)c(O)c(O)c2)=O)cc1,0.41838288,0.41838288,1.0,1.0,32.86126553546104,0.41838288
